media_tecnico_ano1	faltas_tecnico_ano1	situacao_tecnico_ano1	media_basico_ano1	faltas_basico_ano1	situacao_basico_ano1	media_tecnico_ano2	faltas_tecnico_ano2	situacao_tecnico_ano2	media_basico_ano2	faltas_basico_ano2	situacao_basico_ano2	media_tecnico_ano3	faltas_tecnico_ano3	situacao_tecnico_ano3	media_basico_ano3	faltas_basico_ano3	situacao_basico_ano3	media_tecnico_ano4	faltas_tecnico_ano4	situacao_tecnico_ano4	media_basico_ano4	faltas_basico_ano4	situacao_basico_ano4	permaneceu_area_ti	permaneceu_ano2	permaneceu_ano3	permaneceu_ano4
8.30		APR	8.73	4.00	APR	8.90	15	APR	9.27	2.00	APR	8.62	2.67	APR	8.65	6.67	APR			INDETERMINADO	9.24	2	APR		sim	sim	não
0.70	20.00	REP	2.17	29.00	REP			INDETERMINADO			INDETERMINADO	2.15	18.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
	55.00	INDETERMINADO	1.80	50.00	REP			INDETERMINADO			INDETERMINADO		56.00	INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
8.50	2.00	APR	8.53	3.33	APR	8.73	11	APR	9.03	6.50	APR	8.59	10.00	APR	7.95	10.50	APR			INDETERMINADO	9.12	14	APR		sim	sim	não
7.70	2.00	APR	8.23	3.33	APR	9.00	12	APR	8.46	3.00	APR	8.45	8.00	APR	7.90	6.00	APR			INDETERMINADO	9.323333333	12	APR	NÃO	sim	sim	não
3.60	12.00	REP	6.76	14.50	APR	8.15	38	APR	8.07	7.00	APR	8.06	22.50	APR	8.18	7.67	APR			INDETERMINADO	9.323333333	20	APR	NÃO	sim	sim	não
	22.00	INDETERMINADO	0.90	44.67	REP			INDETERMINADO			INDETERMINADO		56.00	INDETERMINADO	8.50	20.00	APR			INDETERMINADO			INDETERMINADO		sim	não	não
7.75		APR	8.23	2.67	APR	7.73	16.5	APR	8.47	7.67	APR	8.34	17.50	APR	7.61	10.00	APR			INDETERMINADO	9.323333333	18	APR		sim	sim	sim
2.10	10.00	REP	4.04	23.67	REP			INDETERMINADO			INDETERMINADO	2.80	8.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	não	não
4.90	12.00	REP	4.11	13.00	REP			INDETERMINADO			INDETERMINADO	5.25	14.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	não	não
7.55	6.00	APR	6.88	4.00	APR	7.70	18	APR	7.27	7.75	APR	7.51	17.75	APR	7.17	11.00	APR			INDETERMINADO	7.333333333	17	APR		sim	sim	sim
8.35	9.00	APR	8.18	9.50	APR	8.50	10.5	APR	8.49	5.00	APR	8.15	22.00	APR	7.97	9.00	APR			INDETERMINADO	8.833333333	20	APR		sim	sim	sim
8.75		APR	8.72	6.00	APR	9.43	6	APR	9.16	1.00	APR	8.95	2.67	APR	8.44	2.00	APR			INDETERMINADO	9.323333333	2	APR	SIM	sim	sim	sim
3.90	10.00	REP	4.74	8.00	REP			INDETERMINADO			INDETERMINADO	4.25	4.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
4.80	2.00	REP	7.67	8.00	APR	7.87	24	APR	7.20	8.00	APR	7.79	13.00	APR	7.82	10.67	APR			INDETERMINADO	8.123333333	12	APR		sim	sim	não
7.30		APR	7.90	5.00	APR	6.47	44	APR	7.82	10.50	APR	7.98	18.75	APR	7.80	10.00	APR			INDETERMINADO	8.453333333	17	APR		sim	sim	não
7.60	5.00	APR	8.08	2.00	APR	7.87	15	APR	8.15	6.50	APR	8.11	3.50	APR	8.21	6.67	APR			INDETERMINADO	8.74	4	APR		sim	sim	não
8.95		APR	8.56	6.00	APR	9.03	6	APR	8.95		APR	8.85		APR	8.57	2.33	APR			INDETERMINADO	9.323333333		APR	SIM	sim	sim	não
8.00		APR	8.23	2.00	APR	8.43	14	APR	8.54	3.00	APR	8.49	2.00	APR	7.92	6.00	APR			INDETERMINADO	9.573333333	2	APR	SIM	sim	sim	não
8.30	6.00	APR	8.83	3.33	APR			INDETERMINADO			INDETERMINADO	8.60	4.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	sim	não
7.60	6.00	APR	8.22	13.00	APR	6.80	47	APR	3.87	31.00	REP	8.30	10.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	sim	não
7.50		APR	8.52	3.00	APR	9.00	8	APR	8.68	1.00	APR	8.84	2.67	APR	8.62	3.50	APR			INDETERMINADO	9.583333333		APR	NÃO	sim	sim	sim
7.80		APR	8.48	3.67	APR	8.87	10.5	APR	9.00	3.50	APR	8.68	6.67	APR	8.40	7.00	APR			INDETERMINADO	9.536666667	10	APR		sim	sim	não
7.05		APR	8.33	5.00	APR	7.57	17.5	APR	7.97	6.25	APR	7.94	20.00	APR	7.38	5.00	APR			INDETERMINADO	9.123333333	12	APR		sim	sim	não
	57.00	INDETERMINADO	1.80	49.33	REP			INDETERMINADO			INDETERMINADO		56.00	INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	sim	não
7.10		APR	8.29	4.00	APR	7.83	24	APR	7.35	10.00	APR	7.88	14.50	APR	7.51	10.33	APR			INDETERMINADO	7.706666667	20	APR		sim	sim	não
5.45	14.00	REP	7.88	14.00	APR	8.53	6	APR	8.43	1.50	APR	8.31	6.00	APR	7.70	4.33	APR			INDETERMINADO	8.953333333	2	APR		sim	sim	não
	55.00	INDETERMINADO	1.15	45.67	REP			INDETERMINADO			INDETERMINADO		56.00	INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	sim	não
8.20	2.00	APR	8.62	2.50	APR	8.63	28	APR	8.62	3.00	APR	8.82	4.00	APR	8.32	3.67	APR			INDETERMINADO	9.49	8	APR		sim	sim	não
	51.00	INDETERMINADO	1.00	48.33	REP			INDETERMINADO			INDETERMINADO	1.40	56.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	sim	não
8.25		APR	8.69	8.50	APR	8.47	21	APR	9.00	5.60	APR	8.24	11.50	APR	8.13	12.00	APR			INDETERMINADO	8.99	18	APR	SIM	sim	sim	sim
		INDETERMINADO			INDETERMINADO			INDETERMINADO	8.80	4.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	7.10	7	APR			INDETERMINADO	8.10	18.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	2.49	8	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	4.18	11.33	REP	2.97	28.00	REP			INDETERMINADO			INDETERMINADO		sim	sim	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	8.35	8.00	APR	7.20		APR	7.28	6.50	APR	6.166666667	22	APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	7.40		APR			INDETERMINADO	5.925		REP		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	7.60		APR			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	8.50		APR			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	7.00	8.00	APR			INDETERMINADO		não	não	não
8.90		APR			INDETERMINADO			INDETERMINADO			INDETERMINADO	8.40	8.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
7.10	18.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	9.20	15	APR	8.70	6.00	APR	7.77	15.67	APR	7.70	6.00	APR			INDETERMINADO	8.453333333	17	APR		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	7.38	28.00	APR	7.35	12.00	APR			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	1.74		REP			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO	8.41		APR	1.70	69	REP	3.11	29.40	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
7.00	2.00	APR	5.30	24.00	REP	7.33	6	APR	7.47	7.00	APR	8.17	7.25	APR	5.96	9.50	REP			INDETERMINADO			INDETERMINADO		sim	não	não
		INDETERMINADO			INDETERMINADO	8.27		APR	8.10	2.50	APR	8.92		APR	8.73		APR	8.67	6.00	APR	8.557142857		APR		sim	sim	sim
		INDETERMINADO			INDETERMINADO	3.60	50	REP		53.00	INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	1.50		REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	2.50		REP			INDETERMINADO	9.30	4.00	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO		sim	sim	sim
		INDETERMINADO			INDETERMINADO	1.30		REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		44.00	INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
