id	media_final_artes1_ano1	faltas_artes1_ano1	situacao_artes1_ano1	media_final_ed_fisica1_ano1	faltas_ed_fisica1_ano1	situacao_ed_fisica1_ano1	media_final_biologia1_ano1	faltas_biologia1_ano1	situacao_biologia1_ano1	media_final_fisica1_ano1	faltas_fisica1_ano1	situacao_fisica1_ano1	media_final_quimica1_ano1	faltas_quimica1_ano1	situacao_quimica1_ano1	media_final_historia1_ano1	faltas_historia1_ano1	situacao_historia1_ano1	media_final_geografia1_ano1	faltas_geografia1_ano1	situacao_geografia1_ano1	media_final_sociologia1_ano1	faltas_sociologia1_ano1	situacao_sociologia1_ano1	media_final_filosofia1_ano1	faltas_filosofia1_ano1	situacao_filosofia1_ano1	media_final_lingua_portuguesa1_ano1	faltas_lingua_portuguesa1_ano1	situacao_lingua_portuguesa1_ano1	media_final_ingles1_ano1	faltas_ingles1_ano1	situacao_ingles1_ano1	media_final_espanhol1_ano1	faltas_espanhol1_ano1	situacao_espanhol1_ano1	media_final_matematica1_ano1	faltas_matematica1_ano1	situacao_matematica1_ano1	media_final_fund_proces_dados_tec-ano1	faltas_fund_proces_dados_tec-ano1	situacao_fund_proces_dados_tec-ano1	media_final_algoritmos_ano1	faltas_algoritmos_tec-ano1	situacao_algoritmos_tec-ano1	media_final_microinformatica_ano1	faltas_microinformatica_tec-ano1	situacao_microinformatica_tec-ano1	media_final_ingles2_ano2	faltas_ingles2_ano2	situacao_ingles2_ano2	media_final_ed_fisica2_ano2	faltas_ed_fisica2_ano2	situacao_ed_fisica2_ano2	media_final_biologia2_ano2	faltas_biologia2_ano2	situacao_biologia2_ano2	media_final_fisica2_ano2	faltas_fisica2_ano2	situacao_fisica2_ano2	media_final_quimica2_ano2	faltas_quimica2_ano2	situacao_quimica2_ano2	media_final_historia2_ano2	faltas_historia2_ano2	situacao_historia2_ano2	media_final_geografia2_ano2	faltas_geografia2_ano2	situacao_geografia2_ano2	media_final_sociologia2_ano2	faltas_sociologia2_ano2	situacao_sociologia2_ano2	media_final_filosofia2_ano2	faltas_filosofia2_ano2	situacao_filosofia2_ano2	media_final_lingua_portuguesa2_ano2	faltas_lingua_portuguesa2_ano2	situacao_lingua_portuguesa2_ano2	media_final_espanhol2_ano2	faltas_espanhol2_ano2	situacao_espanhol2_ano2	media_final_matematica2_ano2	faltas_matematica2_ano2	situacao_matematica2_ano2	media_final_ling_programacao_tec-ano2	faltas_ling_programacao_tec-ano2	situacao_ling_programacao_tec-ano2	media_final_sist_operacionais_tec-ano2	faltas_sist_operacionais_ano2	situacao_sist_operacionais_tec-ano2	media_final_manut_computadores1_tec-ano2	faltas_manut_computadores1_tec-ano2	situacao_manut_computadores1_tec-ano2	media_final_ingles3_ano3	faltas_ingles3_ano3	situacao_ingles3_ano3	media_final_ed_fisica3_ano3	faltas_ed_fisica3_ano3	situacao_ed_fisica3_ano3	media_final_biologia3_ano3	faltas_biologia3_ano3	situacao_biologia3_ano3	media_final_fisica3_ano3	faltas_fisica3_ano3	situacao_fisica3_ano3	media_final_quimica3_ano3	faltas_quimica3_ano3	situacao_quimica3_ano3	media_final_historia3_ano3	faltas_historia3_ano3	situacao_historia3_ano3	media_final_geografia3_ano3	faltas_geografia3_ano3	situacao_geografia3_ano3	media_final_sociologia3_ano3	faltas_sociologia3_ano3	situacao_sociologia3_ano3	media_final_filosofia3_ano3	faltas_filosofia3_ano3	situacao_filosofia3_ano3	media_final_lingua_portuguesa3_ano3	faltas_lingua_portuguesa3_ano3	situacao_lingua_portuguesa3_ano3	media_final_espanhol3_ano3	faltas_espanhol3_ano3	situacao_espanhol3_ano3	media_final_matematica3_ano3	faltas_matematica3_ano3	situacao_matematica3_ano3	media_final_banco_de_dados_tec-ano3	faltas_banco_de_dados_tec-ano3	situacao_banco_de_dados_ano3	media_final_software_utilitarios_ano3	faltas_software_utilitarios_tec-ano3	situacao_software_utilitarios_ano3	media_final_manut_computadores2_tec-ano3	faltas_manut_computadores2_tec-ano3	situacao_manut_computadores2_tec-ano3	media_final_redes_basicas_tec-ano3	faltas_redes_basicas_tec-ano3	situacao_redes_basicas_tec-ano3	media_final_empreendedorismo_tec-ano3	faltas_empreendedorismo_tec-ano3	situacao_empreendedorismo_tec-ano3	media_final_gestao_de_qualidade_tec-ano3	faltas_gestao_de_qualidade_tec-ano3	situacao_gestao_de_qualidade_tec-ano3	media_final_fisica4_ano4	faltas_fisica4_ano4	situacao_fisica4_ano4	media_final_quimica4_ano4	faltas_quimica4_ano4	situacao_quimica4_ano4	media_final_lingua_portuguesa4_ano4	faltas_lingua_portuguesa4_ano4	situacao_lingua_portuguesa4_ano4	media_final_matematica4_ano4	faltas_matematica4_ano4	situacao_matematica4_ano4	media_final_biologia4_ano4	faltas_biologia4_ano4	situacao_biologia4_ano4	media_final_fisolofia4_ano4	faltas_fisolofia4_ano4	situacao_fisolofia4_ano4	media_final_sociologia4_ano4	faltas_sociologia4_ano4	situacao_sociologia4_ano4	media_final_estatistica_tec-ano4	faltas_estatistica_tec-ano4	situacao_estatistica_tec-ano4	media_final_higiene_seguranca_trabalho_tec-ano4	faltas_higiene_seguranca_trabalho_tec-ano4	situacao_higiene_seguranca_trabalho_tec-ano4	media_final_analise_e_projetos_de_sistemas_tec-ano4	faltas_analise_e_projetos_de_sistemas_tec-ano4	situacao_analise_e_projetos_de_sistemas_tec-ano4	media_final_redes_avancadas_tec-ano4	faltas_redes_avancadas_tec-ano4	situacao_redes_avancadas_tec-ano4	media_final_programacao_web_tec-ano4	faltas_programacao_web_tec-ano4	situacao_programacao_web_tec-ano4	media_final_metodologia_cientifica_tec-ano4	faltas_metodologia_cientifica_tec-ano4	situacao_metodologia_cientifica_tec-ano4	permaneceu_area_ti	permaneceu_ano2	permaneceu_ano3	permaneceu_ano4
20162290532	0	0	REP	0	12	REP	0	0	REP	0	60	REP	0	60	REP	0	0	REP	0	60	REP	0	0	REP				0	0	REP	0	0	REP	0	0	REP	0	90	REP	0	16	REP				0	0	REP																																																																																																																																												não	não	não
20162290210	9.13	0	APR	8	0	APR	7.75	0	APR	7.25	0	APR	7.7	0	APR	7.88	0	APR	7.88	2	APR	7.01	0	APR	7.6	0	APR	7.33	0	APR	8	0	APR	8.38	0	APR	7.48	0	APR	8.15	2	APR	2.9	2	REP	8.5	0	APR				9.1	0	APR	6.1	0	APR	7	6	APR	7.8	0	APR	7.9	0	APR	7.8	0	APR	7.5	0	APR	8.1	0	APR	7.1	0	APR	7.7	0	APR	7	0	APR	7.9	0	APR	6.8	0	APR	8.6	0	APR	7	0	APR	9.3	0	APR	7.1	0	APR	7.5	0	APR	7.9	4	APR	7.6	3	APR	7	0	APR	7.4	0	APR	7	0	APR	7.8	0	APR	8.9	0	APR	6.6	6	APR	7	0	APR	9.3	0	APR	9	2	APR	7.7	0	APR	8.3	0	APR	7.7	0	APR	7.5	0	APR	7.4	0	APR	8.3	0	APR	9.1	0	APR	8	0	APR	8	0	APR	9.3	0	APR	7.7	6	APR	7.9	0	APR	8.3	0	APR	9.1	4	APR	8.9	7	APR	7	0	APR		sim	sim	sim
20162290160	8.25	0	APR	8.35	0	APR	7.38	0	APR	7.25	0	APR	7.7	0	APR	8.38	0	APR	8	0	APR	6	0	APR	8.4	0	APR	7.38	0	APR	8.33	0	APR	8.25	0	APR	7.6	3	APR	8.28	0	APR	7	0	APR	8.18	0	APR				9.1	0	APR	7	2	APR	7	6	APR	8.6	0	APR	8	0	APR	7.3	0	APR	8.1	0	APR	8.1	0	APR	7	0	APR	8.9	0	APR	6	1	APR	7.5	0	APR	8.1	0	APR	8.8	3	APR	8	0	APR	9.5	0	APR	7.1	0	APR	7.5	0	APR	7.5	8	APR	8.2	6	APR	7.4	0	APR	7.5	0	APR	8	0	APR	8.4	0	APR	8.4	1	APR	7.8	9	APR	7	0	APR	9.3	0	APR	8.6	2	APR	8	2	APR	8.3	0	APR	7.7	2	APR	7.5	0	APR	8.7	0	APR	8.4	0	APR	8	5	APR	8	0	APR	8.5	0	APR	9.8	0	APR	8.8	5	APR	6.6	0	APR	7.3	0	APR	8.9	12	APR	7.8	4	APR	8	0	APR		sim	sim	sim
20162290519	9.25	0	APR	8	0	APR	7.38	0	APR	7.68	2	APR	8.85	0	APR	8.88	0	APR	7.5	2	APR	7.79	0	APR	8.7	0	APR	7.8	0	APR	9.53	0	APR	9.13	0	APR	9	0	APR	8.73	0	APR	8.9	8	APR	8.39	0	APR				9.8	0	APR	8.9	0	APR	7.3	2	APR	9.6	0	APR	9.3	0	APR	8.9	0	APR	8	0	APR	8.1	0	APR	8.3	0	APR	8.5	0	APR	9.1	3	APR	8.9	0	APR	9.5	0	APR	9.3	3	APR	9.2	0	APR	10	0	APR	8.4	0	APR	8.5	0	APR	9.9	2	APR	8.9	12	APR	8.9	0	APR	8.5	0	APR	8.1	0	APR	8.6	0	APR	9.3	1	APR	9.4	6	APR	8.9	0	APR	9.5	0	APR	9.5	2	APR	9.6	8	APR	9.5	0	APR	9	2	APR	7	0	APR	10	0	APR	10	0	APR	9.7	0	APR	8	0	APR	9.3	0	APR	9.5	0	APR	9.5	2	APR	8.3	0	APR	9.5	0	APR	10	6	APR	8.6	8	APR	7.5	0	APR	SIM	sim	sim	sim
20162290510	7.88	0	APR	7.5	0	APR	6	0	APR	6.88	2	APR	6.75	4	APR	7.63	0	APR	7.95	2	APR	6.04	0	APR	7.7	0	APR	6.16	0	APR	6.16	0	APR	7.03	0	APR	7.05	6	APR	7.18	0	APR	2	4	REP	7.54	0	APR				9.1	0	APR	7	0	APR	7	4	APR	7.4	2	APR	8.4	0	APR	8.4	0	APR	7.1	0	APR	8	0	APR	7	0	APR	7.7	0	APR	5.9	0	REP	7	0	APR	8.5	0	APR	8	0	APR	8.5	0	APR	9.5	0	APR	7.1	0	APR	7.5	0	APR	7.5	2	APR	8.5	0	APR	8.2	0	APR	9.2	0	APR	7.3	0	APR	8.4	0	APR	7.8	0	APR	7.5	3	APR	7.4	0	APR	9.5	0	APR	9.6	0	APR	8.7	2	APR	8.3	0	APR	8.3	0	APR	7.5	0	APR	9.6	0	APR	8.8	0	APR	8.1	5	APR	8	0	APR	8	0	APR	7.3	0	APR	9	6	APR	8.8	0	APR	7.3	0	APR	8.6	7	APR	7.9	10	APR	9	0	APR		sim	sim	sim
20162290512	9.25	0	APR	9.05	0	APR	7.5	0	APR	7	2	APR	8.1	6	APR	8.13	0	APR	7.58	0	APR	7.14	0	APR	8.1	0	APR	7.48	0	APR	8.83	0	APR	7.95	0	APR	7.78	3	APR	7	0	APR	4.4	2	REP	8.65	0	APR				9.6	0	APR	7.3	0	APR	7	2	APR	9	0	APR	8.8	0	APR	8.4	0	APR	7.5	0	APR	9.3	0	APR	7.6	0	APR	8.4	0	APR	8.1	3	APR	8	0	APR	8.4	0	APR	8.8	3	APR							1.9	0	REP																			2.2	0	REP	2.2	1	REP							2.3	14	REP							9.3	0	APR																																											SIM	sim	sim	não
20152290028																																																	0	0		8.75	0		3.19	18		0	0		8.93	0		0	0		0	0		3.04	0		0	0		0	0		3.38	0		2.69	12		2.45	2		2.93	2		3	0																																																																																																não	não	não
20152290004																																																	9.1	0	APR	9.25	0	APR	9.08	2	APR	8.25	2	APR	9.55	0	APR	8.3	2	APR	8.63	1	APR	8.48	0	APR	9.35	0	APR	9.58	0	APR	9.38	0	APR	9.28	0	APR	9.58	0	APR	8.9	2	APR	8.8	0	APR	8.8	0	APR	10	0	APR	8.4	0	APR	7.8	2	APR	9.6	0	APR	8.7	6	APR	9.5	0	APR	8.5	0	APR	7.9	0	APR	9.5	0	APR	9.4	0	APR	8.3	0	APR	8.8	0	APR	7.3	0	APR	10	0	APR	9.2	2	APR	7	0	APR				10	0	APR	9	0	APR	8.5	0	APR	9.5	0	APR	8.5	0	APR	9.5	0	APR	8.8	0	APR	8.3	0	APR	9.2	0	APR	10	0	APR	9.3	6	APR	9.2	10	APR	9.3	2	APR		sim	sim	sim
20152290010																																																	7.63	0	APR	9	0	APR	8.4	0	APR	7.5	0	APR	8.8	0	APR	7.98	2	APR	7.5	4	APR	7.5	0	APR	8.4	0	APR	9.43	0	APR	9.25	0	APR	8	0	APR	2.46	0	REP	7.5	0	APR	8.5	0	APR	7.3	0	APR	9.5	0	APR	7.3	0	APR	6.2	4	APR	8.9	0	APR	7	16	APR	8.7	0	APR	7.5	0	APR	7.6	0	APR	8	0	APR	9.4	0	APR	7.6	0	APR	7	0	APR	2.9	0	REP	8.9	0	APR	8.2	2	APR	7	0	APR				10	0	APR	8	0	APR	7.5	0	APR	7	0	APR	8.3	0	APR	9	0	APR	8.7	0	APR	8.3	0	APR	8.1	0	APR	10	0	APR	9.6	4	APR	7.7	2	APR	8.3	0	APR		sim	sim	sim
20152290029																																																	9.93	0	APR	9.25	2	APR	9.38	2	APR	9.75	2	APR	9.8	0	APR	8.9	0	APR	8.88	0	APR	8.03	0	APR	8.95	0	APR	9.03	0	APR	9.38	0	APR	9.13	3	APR	9.88	0	APR	9.5	0	APR	9.6	0	APR	8.8	0	APR	10	0	APR	8.4	0	APR	7.9	2	APR	10	0	APR	8.3	9	APR	9.1	0	APR	8.9	0	APR	7.8	0	APR	9	0	APR	8.1	0	APR	9	0	APR	8.2	0	APR	7.8	0	APR	9.8	0	APR	9.1	0	APR	10	4	APR				10	0	APR	10	0	APR	8.5	0	APR	9.8	0	APR	9	0	APR	9.5	0	APR	9.1	0	APR	8.5	0	APR	8.3	0	APR	9.8	0	APR	9	10	APR	9.4	4	APR	9	2	APR		sim	sim	sim
20152290040																																																	2.55	0	REP	8.5	2	APR	3.04	9	REP	2.38	18	REP	2.06	0	REP	2.25	4	REP	2.2	8	REP	2.83	0	REP	2.2	0	REP	2.63	0	REP	3.16	0	REP	2.26	15	REP	1.5	4	REP	2.8	0	REP	2.2	3	REP																						7.9	0	APR																																																																							sim	não	não
